row_key,hh_point,hv_point,hh_gauss,hv_gauss,hh_boxcar,hv_boxcar
4052,-8.342479172745868,-11.386061205751261,-6.97538262950369,-11.71380625899601,-6.9650229150169904,-11.795131828791034
4053,-10.034751885039114,-15.84130305999092,-8.098427445503322,-12.78229123878558,-7.831914874437981,-12.365125100823764
4054,-7.492160566067753,-10.013302825757165,-7.408609829155435,-10.867038230194328,-6.866571002015338,-11.456004245722724
4055,-3.130393618600067,-11.230083979855806,-5.764848710233237,-11.244397379924777,-6.348985781604039,-11.474786393114204
4056,-4.0503452688616335,-10.559866539863904,-5.764734340836743,-9.764451086144215,-5.917377422591219,-9.579979226577109
4057,-5.381442694658304,-9.337257370339856,-4.9034882218331175,-10.529594121498388,-5.1458382473273065,-10.859030932700112
4058,-5.951620141259966,-11.172028974375024,-5.461733663330586,-10.830963430705594,-5.855963873865723,-10.332230282751164
4059,-7.206975824131803,-14.770973157241244,-7.438909489379719,-12.261279848009519,-7.213495737748555,-11.936101467035877
4060,-4.828155223048611,-12.850978781960606,-6.067992547694272,-12.14086619372749,-6.331034733531494,-11.680947325180314
4061,-7.850561044686643,-10.460880971291047,-5.568930889516089,-10.014000828594089,-5.445037027339372,-10.02573476398504
4062,-4.946890495641483,-9.602509950203952,-5.121055436415973,-9.943944495571316,-5.789260894854659,-10.118659319641617
4063,-6.416498521658241,-13.518589935699126,-6.210666011341617,-11.788757241845456,-5.741057555764314,-11.384651235718923
4064,-6.588090069110194,-10.417926996457268,-5.500051322499036,-11.797225223603641,-6.154944369704824,-11.750805674822482
4065,-5.0694756502088865,-8.210135384367703,-5.333661660558653,-9.713792206992176,-5.352758396504653,-9.838644464158438
4066,-6.99941281511731,-11.116570417701766,-6.976479152177975,-10.360547363156186,-6.407113750604531,-10.408694064610469
4067,-7.991375026795964,-12.098808306119949,-5.999215435583629,-10.52372204250016,-5.398861396106612,-10.325776783234984
4068,-6.482394021276406,-12.145980611037785,-6.257754862522518,-10.967461760102394,-6.4165358825012,-10.903779542492796
4069,-5.197170798708456,-9.04147110386991,-5.252579505992822,-9.198409825586456,-5.433620536353794,-9.663136148208139
